000000478620874,Google,Pixel 7,2024,36032593436,34905292
000269738266395,Google,Pixel 7,2025,78206790934,37089822
000693467603102,Xiaomi,Redmi Note 12,2018,52627408127,71300148
001185620002758,Google,Pixel 7,2018,46156358188,04594923
001240223332559,Huawei,P50,2022,22620912261,01724895
001305206764483,Xiaomi,Mi 12,2023,84956884176,59215184
001348577634402,Vivo,Y36,2018,55249553656,03435429
001726036659394,Realme,Narzo 60,2019,75528515386,09572058
001745890571430,OnePlus,Nord 3,2025,54349514848,28010884
001754793492083,Vivo,V27,2025,17771827519,66233490
001915793818031,Sony,Xperia 1 IV,2023,06381106298,96924647
001920033519251,Asus,Zenfone 9,2019,86370184918,34873950
001935217448865,Sony,Xperia 10 V,2021,92471860133,64067102
001942992769927,Vivo,Y36,2020,53254533194,10112830
002000721412161,Vivo,V27,2019,66735965116,20117863
002045528723811,Nokia,X30,2018,89727066046,57528195
002093104747459,Xiaomi,Mi 11,2019,58601953115,62909488
002156963037932,Sony,Xperia 10 V,2025,65102070606,18014183
002196949775573,Sony,Xperia 1 IV,2018,17871512471,44823595
002309305672291,LG,Wing,2025,82526723965,08396038
002905423667037,Asus,Zenfone 9,2025,09062393039,20684320
003038448588127,OnePlus,10 Pro,2020,37508086600,53948255
003102145548398,Lenovo,Tab P11,2019,98470108891,81075767
003136611311893,Google,Pixel 7,2021,60811143929,20781564
003237625023391,Samsung,Galaxy A54,2022,15418217348,42771752
003514713939285,Google,Pixel 6,2019,71893539849,17852588
003546097123110,OnePlus,Nord 2,2025,52296648606,48228958
003786316945716,Samsung,Galaxy S21,2022,72431480348,66456247
004053395037492,Asus,Zenfone 9,2025,57629083130,07339020
004087714389283,Realme,C55,2024,89944495824,60415497
004279729672864,Xiaomi,Redmi Note 12,2019,69336344005,11649769
004401218547425,Motorola,Moto G84,2025,74961193852,93791785
004674688860268,Samsung,Galaxy S21,2018,94246504009,29298676
004722034293987,Huawei,P50,2019,84944076436,35866570
004740825162573,Sony,Xperia 10 V,2023,13966032201,90948749
004939849614088,Motorola,Moto G84,2020,89361633457,27062169
005515994044376,Huawei,Nova 11,2024,98906106475,34559369
005554473739710,Huawei,Nova 11,2024,48783288864,19384814
006026615101590,Nokia,C32,2018,46505552057,81574762
006266302765387,Xiaomi,Redmi Note 11,2025,28989735645,83549966
006417593541228,Nokia,C32,2024,10532766300,32639680
006585406071593,OnePlus,11,2023,43998607234,53961019
006672655290674,OnePlus,11,2023,65019609838,66699117
007195674973390,Motorola,Moto G84,2024,34917288606,88326715
007529723048437,Sony,Xperia 10 V,2018,66231684784,51680061
007911415653138,Samsung,Galaxy Z Flip,2021,46546000350,80129378
008429703884239,Realme,C55,2021,05511970131,60784889
008817470599160,Nokia,C32,2018,29611084463,65585568
009155370415652,Apple,iPhone 13,2020,63054582191,11376918
009252408175750,Motorola,Moto Edge 30,2022,82366294654,33091568
009609825638890,Oppo,Find X5,2020,82582304689,76598434
009705505764352,Xiaomi,Redmi Note 12,2023,88820154757,87238586
009943782783739,Lenovo,Legion Y70,2018,16269515513,98594998
010355574170785,Asus,Zenfone 9,2023,02559446596,72230002
010583468531859,Vivo,V27,2018,29604862189,94118737
010724167030595,Samsung,Galaxy Z Flip,2022,63664147936,20964951
010760914743361,Samsung,Galaxy A54,2020,03117041907,82755259
011094935921864,LG,K52,2022,32334021555,34964379
011331723325235,LG,K52,2023,02588068006,28490453
011706016410736,Motorola,Moto G62,2018,03805870680,57557705
011789899097030,Asus,ROG Phone 7,2019,22014701113,90889320
012274836453842,Google,Pixel 7,2019,82197445537,30896048
012605275933923,Sony,Xperia 5 IV,2018,06336111741,88011243
012806450183604,Oppo,Reno 8,2021,65476692541,72030815
013428561373427,Lenovo,K14,2022,34767988284,93719242
013531192635759,Sony,Xperia 10 V,2019,14407408367,21853975
013737401685960,Lenovo,Tab P11,2021,81628221356,85382354
013834356026494,Apple,iPhone 14,2025,65284351622,76992844
013976886053715,Lenovo,Legion Y70,2019,89530245602,26725744
014019300169145,Huawei,Nova 11,2022,74406818510,65629589
014209021409263,Apple,iPhone 14,2024,04536550763,26966447
014458223719749,Asus,Zenfone 9,2021,08617181354,05262768
014557152181945,OnePlus,Nord 2,2018,03169172069,70708508
014579520615765,Motorola,Moto Edge 40,2021,94173640650,59533192
014643605366017,OnePlus,10 Pro,2021,92852515520,78165806
015089525237352,Vivo,Y36,2020,53784102581,86098870
015324915933909,Samsung,Galaxy Z Flip,2021,11299946275,38688855
015547830166393,Huawei,Nova 11,2021,08300508503,35544957
015890286516254,Samsung,Galaxy S21,2019,95977449968,00292706
016071477595779,Google,Pixel 8,2020,21439453292,19442761
016101500854359,Motorola,Moto G84,2020,40601758544,73676453
016152283718383,Motorola,Moto Edge 30,2021,14450231724,95375738
016167656660979,Realme,C55,2020,23792217406,90574965
016380987204482,LG,K52,2025,09379043503,96852133
016490157637235,Realme,GT Neo,2018,74930870240,21335995
016852569290080,Sony,Xperia 10 V,2024,75619932850,14201851
016932028569450,Asus,ROG Phone 7,2018,68955245092,74592926
017368659127920,Google,Pixel 7,2023,04407478640,00661156
017502851168608,Apple,iPhone 13,2025,43810457930,71045142
017508241172343,Oppo,Reno 10,2022,77731744825,19929086
017667648069315,Vivo,X90,2021,40834628848,14449642
017946004488638,Apple,iPhone 13,2022,83131535474,11035007
018380343620578,Vivo,Y36,2023,57927358162,72310436
018556293474053,Google,Pixel 7,2019,71926855507,18227408
018685068201062,Oppo,Reno 10,2024,39136687642,88108304
019276841875024,Huawei,P50,2025,40071217886,76715704
019924955550155,Huawei,P40,2025,84220033688,03058238
019974340211365,Huawei,P40,2018,83998236945,66234053
020389764297967,Apple,iPhone 13,2018,36542252339,62245074
020406263860582,Xiaomi,Redmi Note 11,2018,83786763151,53957517
